title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Reviewing operational issues on Vancouver Island - Jordan River","Times Colonist","1994-06-10","","Ecological Damage; Recreation; FIshing; Hydroelectric; Dam Risks; B.C. Hydro","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/hydro_june_10_1994_reviewing_operational_issues_times_colonist_1994_06_10_11_th.jpg","http://localhost:4000/JRWA-Archive/objects/hydro_june_10_1994_reviewing_operational_issues_times_colonist_1994_06_10_11.pdf",/JRWA-Archive/items/jrnph1971-present_002.html
"Jordan River Powerhouse","Elida Peers","2007-03","","Powerhouse; Hydroelectric","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/issue2007_03_th.jpg","http://localhost:4000/JRWA-Archive/objects/issue2007_03.pdf",/JRWA-Archive/items/jrnph1971-present_003.html
"The Jordan River flume","Elida Peers","2022-03-20","","Hydroelectric; B.C. Hydro; Flume","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/peers_2020_the_jordan_river_flume_in_sooke_news_mirror_th.jpg","http://localhost:4000/JRWA-Archive/objects/peers_2020_the_jordan_river_flume_in_sooke_news_mirror.pdf",/JRWA-Archive/items/jrnph1971-present_004.html
"Hydro decision this time is a tough one","Terry Hammond","1971-12-4","","Hydroelectric; B.C. Hydro","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/the_vancouver_sun_1971_12_04_25_th.jpg","http://localhost:4000/JRWA-Archive/objects/the_vancouver_sun_1971_12_04_25.pdf",/JRWA-Archive/items/jrnph1971-present_005.html
"Reviewing operational issues on Vancouver Island - Jordan River","Times Colonist","1994-06-10","","Ecological Damage; Recreation; FIshing; Hydroelectric; Dam Risks; B.C. Hydro","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/times_colonist_1994_hydro_ad_th.jpg","http://localhost:4000/JRWA-Archive/objects/times_colonist_1994_hydro_ad.pdf",/JRWA-Archive/items/jrnph1971-present_006.html
"The Source of (Victoria&#39;s) Power","John Newcomb","2001-03-18","","Hydroelectric; B.C. Hydro; Mining; Forestry. Lumner","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/times_colonist_2001_03_18_43_source_of_victorias_power_th.jpg","http://localhost:4000/JRWA-Archive/objects/times_colonist_2001_03_18_43_source_of_victorias_power.pdf",/JRWA-Archive/items/jrnph1971-present_007.html
"Jordan RIver Contract Let","Alberni Valley Times","1969-08-18","B.C. Hydro bu awarded the second of two major contract for redevelopment of the Jordan River power project on the southwestern tip of Vancouver Island.","B.C. Hydro; Hydroelectric; Elliot Dam; Diversion Dam; Tunnel","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/alberni_valley_times_mon__aug_18_1969_th.jpg","http://localhost:4000/JRWA-Archive/objects/alberni_valley_times_mon__aug_18_1969.pdf",/JRWA-Archive/items/jrnph1940-69_001.html
"Massive Blast Opening Tunnel","A.H. Murphy ","1969-02-25","","B.C. Hydro; Hydroelectric; Elliot Dam; Diversion Dam; Tunnel","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/daily_colonist%20_1969_02_25_massive_blast_opening_tunnel_th.jpg","http://localhost:4000/JRWA-Archive/objects/daily_colonist%20_1969_02_25_massive_blast_opening_tunnel.pdf",/JRWA-Archive/items/jrnph1940-69_003.html
"Pioneers of Jordan River Hydro Had Courage to Dream and Dare","Patricia Skowaisa","1968-07-07","&quot;The Jordan River powerhouse it a record of
vision, enterprise, organisation and engineering -a lasting monument to a handful of men who in the early 1900s realised the potential of an almost entirely unknown mountain stream.&quot;","Settlement; Enterprise; Colonialism; Exploitation; Hydroelectric","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/daily_colonist_1968_07_07_pioneers_of_jr_hydro_th.jpg","http://localhost:4000/JRWA-Archive/objects/daily_colonist_1968_07_07_pioneers_of_jr_hydro.pdf",/JRWA-Archive/items/jrnph1940-69_004.html
"Hydro Project Hums","Clement Chapple","1969-05-11","","Mining; Hydroelectric; Settlement; B.C. Hydro","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/daily_colonist_1969_05_11_hydro_project_hums_th.jpg","http://localhost:4000/JRWA-Archive/objects/daily_colonist_1969_05_11_hydro_project_hums.pdf",/JRWA-Archive/items/jrnph1940-69_006.html
"Island to Double Share of Mainland Power","Ian Street","1964-11-05","","Hydroelectric; B.C. Hydro","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/daily_colonist_november_5_1964_island_to_double_share_of_mainland_power_th.jpg","http://localhost:4000/JRWA-Archive/objects/daily_colonist_november_5_1964_island_to_double_share_of_mainland_power.pdf",/JRWA-Archive/items/jrnph1940-69_007.html
